Input Size,Run Time (ns)
0,740
1,889
2,1333
3,1185
4,1925
5,3555
6,4148
7,4888
8,10963
9,8592
10,12592
11,24593
12,53185
13,121481
14,286814
15,671554
16,1627552
17,4021918
18,9646204
19,23301736
20,54895309
21,136433979
22,328626675
23,786671490
24,1923940580
Input Size,Run Time (ns)
0,889
1,888
2,1185
3,1333
4,1481
5,1629
6,1629
7,1333
8,1629
9,1630
10,3111
11,3555
12,3111
13,3111
14,3407
15,3703
16,3407
17,3407
18,3259
19,3703
20,3555
21,3851
22,3555
23,4000
24,3851
