Input Size,Run Time (ns)
0,1037
1,888
2,1185
3,1037
4,1481
5,1629
6,3111
7,2963
8,3555
9,3555
10,4740
11,5037
12,5926
13,5185
14,5777
15,6518
16,8593
17,11703
18,15259
19,22963
20,35111
21,54815
22,86073
23,136148
24,218221
Input Size,Run Time (ns)
0,1185
1,889
2,1037
3,1333
4,1629
5,1481
6,3704
7,3555
8,3703
9,3703
10,4296
11,5036
12,5037
13,5185
14,6666
15,9036
16,9481
17,12296
18,16148
19,23407
20,35407
21,55555
22,86518
23,137036
24,217925
